building_id,building_name_1,building_name_2,stories,number_of_units,year_built,building_sq_ft
825064,THE BELVEDERE,,16,,2004,2300
825100,THE PEARSON,,35,,2003,
834544,RIVER PLACE ON THE PARK,,21,,2005,
837920,THE GRAND ORLEANS,,22,,2005,
33721,,,15,84,1973,
877658,,,20,47,1931,
478374,,,12,,1949,
478765,,,11,270,,
333430,AMERICA-FORE BUILDING,,12,,1923,
814908,HARRISON HOTEL ELECTRIC GARAGE,,21,125,1930,
884611,CENTER FOR BIOMEDICAL DISCOVERY,UNIVERSITY OF CHICAGO,10,,2008,
815874,340 WEST SUPERIOR,,17,,2002,
364561,TRANSPORTATION BUILDING,,22,,1911,
244025,2650 NORTH LAKEVIEW,,44,328,1973,
352785,200 NORTH DEARBORN APARTMENTS,,47,310,1989,51500
815216,,,19,142,1974,
295018,EUGENIE TERRACE ON THE PARK,,44,3,1987,
368756,DEARBORN PARK HIGH RISE I,,27,120,1980,
349012,COURT HOUSE PLACE,,21,,1926,
837491,PALMOLIVE BUILDING,,37,,1929,
52074,CHICAGO MARIOTT O'HARE,,12,,1972,532200
454939,ALGONQUIN APARTMENTS 2,,14,70,1952,
330870,880 LAKE SHORE DRIVE,,26,263,1951,
65609,THE METROPPOLITAN,,25,253,1985,
888212,,,12,106,2008,
861453,,,15,144,1930,
814918,THE BLACKSTONE,,21,,1910,156700
888213,,,12,106,2008,
151207,LAKE PARK PLAZA,,29,448,1968,
352769,70 EAST LAKE,,16,,1928,
815153,THE NEAPOLITAN,,18,95,1899,
814392,GENE SISKEL FILM CENTER,ART INSTITUTE DORMATORY,16,,,
886003,ECHELON AT K STATION,,39,,2008,
359568,LAKE FOREST SCH. OF MANAGEMENT,,15,,,
814896,PONTIAC BUILDING,,14,,1891,
364077,HARRISON ST LOFTS,,14,,1998,
365818,PRINTERS SQUARE APARTMENTS,,13,,1983,
227176,441 WEST OAKDALE,,15,70,1965,
885680,WRIGLEY BUILDING,,27,,,
815360,AMBASSADOR EAST HOTEL,,16,,1930,169500
206153,BELMONT TOWER,,24,277,1969,
473973,SHORELAND HALL,SHORELAND HOTEL,14,307,1921,
894278,REVA AND DAVID LOGAN CENTER FOR THE ARTS,,11,,2012,
894280,HYATT PLACE HOTEL,,17,,2015,
893034,harper ct office building,,12,,2013,
892077,,,40,89,2012,
892216,WIT HOTEL,,27,,2009,
894074,,,40,402,2014,
575488,HYDE PARK MGMT COMPANY,,11,48,1963,
886064,AMLI 900,,24,,2008,
892859,Venue SIX10,,10,,2007,
889831,,,15,1,2009,
889832,,,15,1,2009,
888279,,,37,422,,
889236,,,33,3,2008,
427375,,,11,61,1971,
55898,LAKESHORE TOWER,,20,133,1962,
813487,,,11,20,1923,
813491,,,10,11,1923,
463983,HAMPTON HOUSE,,11,134,1917,
861929,,,44,666,1968,
304399,JAMES HOUSE,,43,,1971,
891308,,,54,,2010,
886021,RIVER NORTH MARRIOTT SUITES,,27,523,2008,
836180,STREETER PLACE,,53,,2005,
891281,,,35,,2010,
885988,DANA HOTEL & SPA,,26,,2007,
847031,PARKVIEW WEST,,49,,2006,
