primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
Bastardi 3,2012,97,"Crime,Drama",3.2,111
"The Need for Speed, Bicycle Messengers in New York",1993,70,Documentary,8.2,19
The Old Irish WasherWoman,2014,81,"Drama,Family,Fantasy",6.6,21
The Rules of the Game,1999,99,Crime,6.3,125
Palookaville,1995,92,"Comedy,Crime",6.5,2651
Kuch Kuch Locha Hai,2015,143,"Comedy,Drama",2.6,966
Suna Bhauja,1994,\N,Drama,4.8,8
Przeprowadzka,1982,74,"Comedy,Drama",6.3,31
High Stakes: A Night in the Ward,2024,84,Comedy,6.5,98
Resistance Is Life,2017,73,Documentary,7.4,3342
The Wedding Planner,2001,103,"Comedy,Romance",5.4,93123
Almost Human: Rise of the Apes,2022,83,Documentary,6.1,61
The Best of the Martial Arts Films,1990,91,"Action,Documentary",7.0,503
Nallavan,1988,132,Action,4.5,8
Splinters,2022,68,Drama,4.6,113
The Statue,1971,84,Comedy,4.8,329
Mere Haule Dost,2013,112,"Comedy,Drama",7.1,28
Egér a palotában,1943,79,\N,5.7,14
Bruno Motoneta,2018,80,"Action,Adventure,Comedy",6.0,31
Oga Bolaji,2018,91,Drama,6.0,14
The Machine,2013,91,"Action,Drama,Sci-Fi",6.0,32923
Baseline,2010,96,"Action,Crime,Drama",5.1,679
Travellers,1992,90,Drama,7.4,1385
Mia Sarah,2006,103,"Comedy,Drama,Fantasy",6.2,388
We Could Still Be Pen Pals,2024,75,Drama,7.8,15
Yella,2007,89,"Drama,Horror,Romance",6.7,4571
Me sobra un marido,1987,100,Comedy,5.3,46
Und sie kehrten niemals wieder,2013,153,"Drama,Western",6.4,12
Mazhe,1966,92,Drama,6.9,14
"F.F.S.S., cioè: '...che mi hai portato a fare sopra a Posillipo se non mi vuoi più bene?'",1983,98,Comedy,6.0,393
Isang araw walang Diyos,1989,128,"Action,Drama,War",6.7,30
The Dreaming,1988,87,"Drama,Horror,Mystery",5.2,529
The Canterville Ghost,1944,95,"Comedy,Family,Fantasy",6.9,3616
Oberstadtgass,1956,95,Drama,7.5,74
Moving Valentine,2022,\N,Comedy,6.0,48
Warriors of Virtue,1997,101,"Action,Adventure,Fantasy",4.8,3890
God kak zhizn,1966,146,"Biography,Drama",6.2,50
Lukisan Berlumur Darah,1988,86,Horror,5.6,188
Puksatte Lifu Pursotte Illa,2021,118,"Comedy,Crime,Drama",7.7,127
For 80 Days,2010,104,"Drama,Romance",6.9,790
Peda Babu,2004,\N,\N,6.3,52
Jack Versus Josephine,2018,100,"Comedy,Horror",6.2,14
Trilby,1912,50,Horror,4.1,35
Miss Amazonas,2019,82,Documentary,6.6,9
Captain Caution,1940,86,"Action,Adventure,Romance",5.5,360
Annapolis Salute,1937,65,"Drama,Romance",5.7,143
Valley of Souls,2019,137,Drama,7.1,326
Those Dirty Dogs,1973,83,"Adventure,Comedy,War",5.5,272
Burned Soul,2011,\N,Action,5.1,34
The Bank Dick,1940,72,Comedy,7.1,8257
Rosszfiúk,2000,100,Drama,4.9,265
Desert Patrol,1938,56,Western,5.7,61
K2 vlastní cestou,2020,94,Documentary,6.4,34
The Redemption of the Devil,2015,82,Documentary,6.7,129
My Heavenly City,2023,120,Drama,6.0,108
5 Galaxies,2019,83,"Action,Drama,Sci-Fi",3.6,340
Flow,2014,89,"Drama,Music",5.9,723
Dynasty,2009,99,Sport,7.1,42
Haseena Maan Jaayegi,1999,147,"Action,Comedy,Romance",6.4,4079
Casting,2001,87,Documentary,8.0,23
Oru Minnaminunginte Nurungu Vettam,1987,\N,Drama,8.1,165
