primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
The Terminal,2004,128,"Comedy,Drama,Romance",7.4,536609
Spotlight,2015,129,"Biography,Crime,Drama",8.1,536359
Lost in Translation,2003,102,"Comedy,Drama",7.7,530197
Warrior,2011,140,"Action,Drama,Sport",8.1,529625
The Help,2011,146,Drama,8.1,529320
The Girl with the Dragon Tattoo,2011,158,"Crime,Drama,Mystery",7.8,529287
Spider-Man: Across the Spider-Verse,2023,140,"Action,Adventure,Animation",8.5,528798
Twilight,2008,122,"Drama,Fantasy,Romance",5.4,527981
The Thing,1982,109,"Horror,Mystery,Sci-Fi",8.2,527184
Glass Onion,2022,139,"Comedy,Crime,Drama",7.1,525973
We're the Millers,2013,110,"Comedy,Crime",7.0,525748
The Wolverine,2013,126,"Action,Sci-Fi",6.7,524547
Mystic River,2003,138,"Crime,Drama,Mystery",7.9,523061
Back to the Future Part III,1990,118,"Adventure,Comedy,Sci-Fi",7.5,521202
Captain Phillips,2013,134,"Action,Biography,Crime",7.8,519930
American Hustle,2013,138,"Crime,Drama",7.2,519480
Divergent,2014,139,"Action,Adventure,Drama",6.6,519200
Mission: Impossible,1996,110,"Action,Adventure,Thriller",7.2,518891
Training Day,2001,122,"Crime,Drama,Thriller",7.8,518666
Indiana Jones and the Kingdom of the Crystal Skull,2008,122,"Action,Adventure",6.2,514489
The Bourne Supremacy,2004,108,"Action,Mystery,Thriller",7.7,514125
Howl's Moving Castle,2004,119,"Adventure,Animation,Family",8.2,514109
The Day After Tomorrow,2004,124,"Action,Adventure,Sci-Fi",6.5,513276
Dawn of the Planet of the Apes,2014,130,"Action,Adventure,Animation",7.6,512133
Saw,2004,103,"Horror,Mystery,Thriller",7.6,511510
Star Trek Into Darkness,2013,132,"Action,Adventure,Sci-Fi",7.7,510809
Moneyball,2011,133,"Biography,Drama,Sport",7.6,510387
The Theory of Everything,2014,123,"Biography,Drama,Romance",7.7,508358
War of the Worlds,2005,117,"Action,Adventure,Sci-Fi",6.6,508297
Gangs of New York,2002,167,"Crime,Drama",7.5,506615
Beauty and the Beast,1991,84,"Animation,Family,Fantasy",8.0,506150
Justice League,2017,120,Sci-Fi,6.0,505528
The Last Samurai,2003,154,"Action,Drama",7.8,504980
Jumanji: Welcome to the Jungle,2017,119,"Action,Adventure,Comedy",6.9,504798
The Mummy,1999,124,"Action,Adventure,Fantasy",7.1,503567
Sherlock Holmes: A Game of Shadows,2011,129,"Action,Adventure,Mystery",7.4,502826
The Menu,2022,107,"Comedy,Horror,Thriller",7.1,502702
The 40-Year-Old Virgin,2005,116,"Comedy,Romance",7.1,502418
Predator,1987,107,"Action,Adventure,Horror",7.8,501903
Aladdin,1992,90,"Adventure,Animation,Comedy",8.0,501468
Wreck-It Ralph,2012,101,"Adventure,Animation,Comedy",7.7,499827
The Exorcist,1973,122,Horror,8.1,498741
Passengers,2016,116,"Drama,Romance,Sci-Fi",7.0,498708
Quantum of Solace,2008,106,"Action,Adventure,Mystery",6.5,498671
Spectre,2015,148,"Action,Adventure,Thriller",6.8,497468
Scott Pilgrim vs. the World,2010,112,"Action,Comedy,Fantasy",7.5,497347
The Hurt Locker,2008,131,"Drama,Thriller,War",7.5,497141
Ant-Man and the Wasp,2018,118,"Action,Adventure,Comedy",7.0,496674
In Bruges,2008,107,"Comedy,Crime,Drama",7.9,494457
Citizen Kane,1941,119,"Drama,Mystery",8.2,493233
X-Men: Apocalypse,2016,144,"Action,Adventure,Sci-Fi",6.8,493046
Elysium,2013,109,"Action,Drama,Sci-Fi",6.6,492074
The Cabin in the Woods,2011,95,"Horror,Mystery,Thriller",7.0,491298
Tropic Thunder,2008,107,"Action,Comedy,War",7.1,491191
Free Guy,2021,115,"Action,Adventure,Comedy",7.1,490144
Shang-Chi and the Legend of the Ten Rings,2021,132,"Action,Adventure,Fantasy",7.3,489753
Jojo Rabbit,2019,108,"Comedy,Drama,War",7.9,489389
Sinners,2025,137,Horror,7.5,489366
No Time to Die,2021,163,"Action,Adventure,Thriller",7.3,488955
Horrible Bosses,2011,98,"Comedy,Crime",6.9,488396
Stand by Me,1986,89,"Adventure,Drama",8.1,488166
American Gangster,2007,157,"Biography,Crime,Drama",7.8,488135
Ghostbusters,1984,105,"Action,Comedy,Fantasy",7.8,487047
The Da Vinci Code,2006,149,"Mystery,Thriller",6.7,486761
The Princess Bride,1987,98,"Adventure,Comedy,Family",8.0,486539
