OBJECTID,STATION_ID,ASSET_ID,NAME,LONGNAME,LINES,BRANCH_ID,STATUS,MILEPOST,FAREZONE,ADA,ADA2,PKNRD,BIKEPKNG,TICKET_AVA,ADDRESS,MUNICIPALI,TELEPHONE,WEBLINK,LABELANGLE,EDIT_INIT,EDIT_DATE,YEAR_OPEN
212,17133.0,51217133.0,Central St.,Central Street (Evanston),UP-N,17,1,13.3,C,0,A,1,21,,1601 Central Ave.,Evanston,,,180,ks,1995-08-02,
213,17144.0,51217144.0,Wilmette,Wilmette,UP-N,17,1,14.4,C,0,A,1,80,,722 Green Bay Rd.,Wilmette,,,0,ks,1995-08-02,
214,17152.0,51217152.0,Kenilworth,Kenilworth,UP-N,17,1,15.2,D,0,A,1,55,,400 Richmond Rd.,Kenilworth,,,0,ks,1995-08-02,
215,17158.0,51217158.0,Indian Hill,Indian Hill,UP-N,17,1,15.8,D,1,N,1,87,,111 N. Green Bay Rd.,Winnetka,,,0,ks,1995-08-02,
216,17166.0,51217166.0,Winnetka,Winnetka,UP-N,17,1,16.6,D,0,A,1,87,,754 Elm St.,Winnetka,,,0,ks,1995-08-02,
217,17177.0,51217177.0,Hubbard Woods,Hubbard Woods,UP-N,17,1,17.7,D,1,N,1,79,,1065 Gage St.,Winnetka,,,0,ks,1995-08-02,
218,17192.0,51217192.0,Glencoe,Glencoe,UP-N,17,1,19.2,D,0,A,1,66,,724 Green Bay Rd.,Glencoe,,,0,ks,1995-08-02,
219,17205.0,51217205.0,Braeside,Braeside,UP-N,17,1,20.5,E,2,M,1,0,,10 N. St. John's Ave.,,,,0,ks,1995-08-02,
220,17212.0,51217212.0,Ravinia Park,Ravinia Park,UP-N,17,2,21.2,E,0,,0,19,,,Highland Park,,,0,ks,1995-09-14,
221,17215.0,51217215.0,Ravinia,Ravinia,UP-N,17,1,21.5,E,0,A,1,43,,510 Roger Williams Ave.,Highland Park,,,0,ks,1995-08-02,
222,17230.0,51217230.0,Highland Park,Highland Park,UP-N,17,1,23.0,E,0,A,1,578,,1800 St. John's Ave.,Highland Park,,,0,ks,1995-08-02,
223,17245.0,51217245.0,Highwood,Highwood,UP-N,17,1,24.5,E,0,A,1,0,,317 Green Bay Rd.,Highwood,,,0,ks,1995-08-02,
